PORT,Course Code,,Required for Minor
,PORT 111,,1.1
,PORT 194,,6.2
,PORT 221,,2.1
,PORT 294,,6.2
,PORT 331,,3.1
,PORT 341,,4.1
,PORT 351,,6.2
,PORT 381,,5.1
,PORT 394,,6.2
,PORT 494,,6.2
