,ANTH 394 ,•  ANTH 394 - Topics Course
,ANTH 405 ,•  ANTH 405 - Ethnomusicology
,ANTH 487 ,•  ANTH 487 - Theory in Anthropology
,ANTH 490 ,•  ANTH 490 - Senior Seminar
,ANTH 494 ,•  ANTH 494 - Topics Course
,ART 130,•  ART 130 - Drawing I
,ART 131,•  ART 131 - Ceramics I
,ART 149,•  ART 149 - Introduction to Visual Culture
,ART 160,•  ART 160 - Introduction to Art History I: From Prehistory to the Medieval Period
,ART 161,•  ART 161 - Introduction to Art History II: From Renaissance to Modern
,ART 194,•  ART 194 - Topics Course
,ART 210,•  ART 210 - Globalization and Contemporary Art
,ART 230,•  ART 230 - Color
,ART 233,•  ART 233 - Photography I
,ART 234,•  ART 234 - Painting I
,ART 235,•  ART 235 - Sculpture I
,ART 236,•  ART 236 - Printmaking I
,ART 238,•  ART 238 - Unconventional Clay
,ART 239,•  ART 239 - 2-D Design
,ART 252,"•  ART 252 - Gender, Sexualities, and Feminist Visual Culture"
,ART 253,"•  ART 253 - Transnational Surrealism: Art, Photography, and Film"
,ART 254,•  ART 254 - History of Body and Performance Art
,ART 263,•  ART 263 - Modern Art
,ART 264,•  ART 264 - Contemporary Art and Theory
,ART 267,•  ART 267 - 3-D Design
,ART 270,•  ART 270 - Making Sacred: Religious Images and Spaces in Asia
,ART 271,•  ART 271 - Japan and the (Inter)National Modern
,ART 272,•  ART 272 - Art of China
,ART 273,•  ART 273 - Art of Japan
,ART 280,•  ART 280 - Art and Architecture of Ancient Egypt
,ART 281,•  ART 281 - Art and Architecture of Ancient Near East
,ART 282,•  ART 282 - Art and Architecture of the Islamic World
,ART 283,•  ART 283 - Art and Architecture of Ancient Greece and Rome
,ART 284,•  ART 284 - Art and Architecture of Byzantium and Medieval Europe
,ART 285,"•  ART 285 - Making of Imperial Cities: Babylon, Rome, and Constantinople"
,ART 294,•  ART 294 - Topics Course
,ART 327,•  ART 327 - Japan and the (Inter)National Modern
,ART 330,•  ART 330 - Figure Drawing
,ART 332,•  ART 332 - Traditional and Digital Illustration
,ART 333,•  ART 333 - Photography II
,ART 334,•  ART 334 - Figure Painting
,ART 350,•  ART 350 - Embodiment and Subjectivity in Later Chinese Art
,ART 370,•  ART 370 - Drawing II
,ART 371,•  ART 371 - Painting II
,ART 372,•  ART 372 - Sculpture II
,ART 373,•  ART 373 - Printmaking II
,ART 374,•  ART 374 - Ceramics II
,ART 375,"•  ART 375 - Race, Ethnicity, Class, and Gender in American Art"
,ART 376,•  ART 376 - Word.
,ART 380,•  ART 380 - Art and Iconoclasm from the Ancient World to Early Modern Era
,ART 394,•  ART 394 - Topics Course
,ART 487,•  ART 487 - Art History Methodology Seminar
,ART 488,•  ART 488 - Senior Studio Seminar
,ART 490,•  ART 490 - Art Apprenticeship
,ART 494,•  ART 494 - Topics Course
,ASIA 111,•  ASIA 111 - Introduction to Asian Studies
,ASIA 112,•  ASIA 112 - Buddhist Literature
,ASIA 113,•  ASIA 113 - Introduction to Buddhism
,ASIA 123,•  ASIA 123 - Masterpieces of Chinese Literature
,ASIA 124,•  ASIA 124 - Dharma and Dao: Big Ideas in India and China
,ASIA 127,•  ASIA 127 - Religions of India
,ASIA 140,•  ASIA 140 - Introduction to East Asian Civilization
,ASIA 150,•  ASIA 150 - Language and Gender in Japanese Society
,ASIA 172,•  ASIA 172 - Cambodia: Empire to Today
,ASIA 194,•  ASIA 194 - Topics Course
,ASIA 205,•  ASIA 205 - Chinese and Sinophone Music
,ASIA 211,•  ASIA 211 - Asian Philosophies
,ASIA 220,"•  ASIA 220 - Foreign Policy: The Evolution of China’s Grand Strategy, 1950-2050"
,ASIA 236,•  ASIA 236 - Sanskrit and Classical Religion in India
,ASIA 241,"•  ASIA 241 - Reclaiming Zen, Yoga and Church: Asian American Religions"
,ASIA 244,•  ASIA 244 - Geography of Asia: the Political Economy
,ASIA 251,•  ASIA 251 - Cramming for the Exam: Education in Chinese Literature and History
,ASIA 254,•  ASIA 254 - Japanese Film and Animation: From the Salaryman to the Shojo
,ASIA 255,•  ASIA 255 - China on Screen
,ASIA 256,•  ASIA 256 - India and its Neighbors: The Anthropology of South Asia
,ASIA 258,•  ASIA 258 - Gender and Sexuality in China
,ASIA 260,•  ASIA 260 - Narratives of Alienation: 20th Century Japanese Fiction and Film
,ASIA 265,"•  ASIA 265 - Contemporary Mongolia: Livelihoods, Economies and Environments"
,ASIA 270,•  ASIA 270 - Religious Images/Spaces Asia
,ASIA 271,•  ASIA 271 - Japan and the (Inter)National Modern
,ASIA 272,•  ASIA 272 - Art of China
,ASIA 273,•  ASIA 273 - Art of Japan
,ASIA 274,•  ASIA 274 - The Great Tradition in China before 1840
,ASIA 275,•  ASIA 275 - The Rise of Modern China
,ASIA 276,•  ASIA 276 - The Great Tradition in Japan before 1853
,ASIA 277,•  ASIA 277 - The Rise of Modern Japan
,ASIA 282,"•  ASIA 282 - Language and Identity in Japanese, Asian-American, and Other Communities"
,ASIA 283,"•  ASIA 283 - Bruce Lee, His Life and Legacy"
,ASIA 294,•  ASIA 294 - Topics Course
,ASIA 315,•  ASIA 315 - U.S. Imperialism from the Philippines to Viet Nam
,ASIA 320,•  ASIA 320 - Asian Cities
,ASIA 327,•  ASIA 327 - Japan and the (Inter)National Modern
,ASIA 335,•  ASIA 335 - Analyzing Japanese Language
,ASIA 340,•  ASIA 340 - Living on the Edge: The Asian American Experience
,ASIA 350,•  ASIA 350 - Embodiment and Subjectivity in Later Chinese Art
,ASIA 353,•  ASIA 353 - Cyber China: Internet and Contemporary Culture
,ASIA 378,•  ASIA 378 - War Crimes and Memory in East Asia
,ASIA 394,•  ASIA 394 - Topics Course
,ASIA 494,•  ASIA 494 - Topics Course
,BIOL 101,•  BIOL 101 - Creatures and Curiosities
,BIOL 102,•  BIOL 102 - Origins
,BIOL 104,•  BIOL 104 - Biotechnology and Society
,BIOL 106,"•  BIOL 106 - Lakes, Streams and Rivers"
,BIOL 108,•  BIOL 108 - Bodies on Fire
,BIOL 110,"•  BIOL 110 - Plants, Environment, and Society"
,BIOL 112,•  BIOL 112 - Health in the Anthropocene
,BIOL 117,"•  BIOL 117 - Women, Health and Reproduction"
,BIOL 170,•  BIOL 170 - Ecology and the Environment
,BIOL 180,•  BIOL 180 - Biodiversity and Evolution
,BIOL 190,•  BIOL 190 - Genetics
,BIOL 194,•  BIOL 194 - Topics Course
,BIOL 200,•  BIOL 200 - Cell Biology
,BIOL 255,•  BIOL 255 - Cell Biology and Genetics Laboratory Methods
,BIOL 275,"•  BIOL 275 - Outdoor Environmental Education in Theory, Policy and Practice"
,BIOL 277,•  BIOL 277 - Sustainable Cities: Urban Environmental Science
,BIOL 294,•  BIOL 294 - Topics Course
,BIOL 302,•  BIOL 302 - Invertebrate Animal Diversity
,BIOL 304,•  BIOL 304 - Neuroanatomy
,BIOL 306,•  BIOL 306 - Ornithology
,BIOL 310,•  BIOL 310 - Agroecology
,BIOL 312,•  BIOL 312 - Microbiology
,BIOL 316,•  BIOL 316 - Cellular and Molecular Neuroscience
,BIOL 318,•  BIOL 318 - Soil Ecology
,BIOL 320,•  BIOL 320 - Computational Biology
,BIOL 322,•  BIOL 322 - Advanced Genetics
,BIOL 350,•  BIOL 350 - Evolutionary Biology
,BIOL 351,•  BIOL 351 - Biochemistry I
,BIOL 352,•  BIOL 352 - Biochemistry II
,BIOL 353,•  BIOL 353 - Molecular Medicine
,BIOL 354,•  BIOL 354 - Chemical Biology
,BIOL 357,•  BIOL 357 - Immunology
,BIOL 359,•  BIOL 359 - Big Data in Ecology
,BIOL 362,•  BIOL 362 - Arctic Ecology
,BIOL 364,•  BIOL 364 - Neuroimmunology
,BIOL 365,•  BIOL 365 - Comparative Vertebrate Anatomy
,BIOL 366,•  BIOL 366 - Plant Ecophysiology
,BIOL 369,•  BIOL 369 - Developmental Biology
,BIOL 370,•  BIOL 370 - Ecosystem Ecology
,BIOL 380,•  BIOL 380 - Animal Behavior: Fundamentals and Applications
,BIOL 385,•  BIOL 385 - Wildlife Monitoring Techniques
,BIOL 394,•  BIOL 394 - Topics Course
,BIOL 400,•  BIOL 400 - Seminar in Neuropharmacology
,BIOL 401,•  BIOL 401 - Mechanisms of Memory
,BIOL 402,•  BIOL 402 - Seminar in Virology
,BIOL 404,•  BIOL 404 - Seminar in Genome Editing
,BIOL 406,•  BIOL 406 - Seminar in Immunology
,BIOL 410,•  BIOL 410 - Seminar in Stem Cell Biology
,BIOL 412,•  BIOL 412 - Seminar in Cancer Biology
,BIOL 416,•  BIOL 416 - Seminar in Vertebrate Paleobiology and Evolution
,BIOL 472,•  BIOL 472 - Research in Molecular Biology
,BIOL 473,•  BIOL 473 - Research in Immunology
,BIOL 474,•  BIOL 474 - Research in Biochemistry
,BIOL 475,•  BIOL 475 - Research in Neurobiology
,BIOL 476,•  BIOL 476 - Research in Biodiversity and Evolution
,BIOL 480,•  BIOL 480 - Research in Paleobiology
,BIOL 485,•  BIOL 485 - Wildlife Conservation in the Anthropocene: An International Perspective
,BIOL 494,•  BIOL 494 - Topics Course
,CHEM 111,•  CHEM 111 - General Chemistry I: Structure and Equilibrium
,CHEM 112,•  CHEM 112 - General Chemistry II: Energetics and Reactivity
,CHEM 115,•  CHEM 115 - Accelerated General Chemistry
,CHEM 120,•  CHEM 120 - CSI Macalester
,CHEM 123,•  CHEM 123 - Food Chemistry
,CHEM 194,•  CHEM 194 - Topics Course
,CHEM 211,•  CHEM 211 - Organic Chemistry I
,CHEM 212,•  CHEM 212 - Organic Chemistry II
,CHEM 222,•  CHEM 222 - Analytical Chemistry
,CHEM 294,•  CHEM 294 - Topics Course
,CHEM 300,•  CHEM 300 - Chemistry Seminar
,CHEM 311,•  CHEM 311 - Thermodynamics and Kinetics
,CHEM 312,•  CHEM 312 - Quantum Chemistry and Spectroscopy
,CHEM 314,•  CHEM 314 - Polymers and Macromolecules
,CHEM 320,•  CHEM 320 - Computational Chemistry
,CHEM 351,•  CHEM 351 - Biochemistry I
,CHEM 352,•  CHEM 352 - Biochemistry II
,CHEM 353,•  CHEM 353 - Molecular Medicine
,CHEM 354,•  CHEM 354 - Chemical Biology
,CHEM 361,•  CHEM 361 - Advanced Organic Chemistry
,CHEM 394,•  CHEM 394 - Topics Course
,CHEM 411,•  CHEM 411 - Advanced Inorganic Chemistry
,CHEM 474,•  CHEM 474 - Research in Biochemistry
,CHEM 494,•  CHEM 494 - Topics Course
,CHIN 101,•  CHIN 101 - First Year Chinese I
,CHIN 102,•  CHIN 102 - First Year Chinese II
,CHIN 123,•  CHIN 123 - Masterpieces of Chinese Literature
,CHIN 125,•  CHIN 125 - Classical Chinese
,CHIN 194,•  CHIN 194 - Topics Course
,CHIN 203,•  CHIN 203 - Second Year Chinese I
,CHIN 204,•  CHIN 204 - Second Year Chinese II
,CHIN 251,•  CHIN 251 - Cramming for the Exam: Education in Chinese Literature and History
,CHIN 255,•  CHIN 255 - China on Screen
,CHIN 258,•  CHIN 258 - Gender and Sexuality in China
,CHIN 294,•  CHIN 294 - Topics Course
,CHIN 305,•  CHIN 305 - Third Year Chinese I
,CHIN 306,•  CHIN 306 - Third Year Chinese II
,CHIN 353,•  CHIN 353 - Cyber China: Internet and Contemporary Culture
